top_traffic_accident_offense,first_occurrence_date,incident_address,geo_lon,geo_lat,district_id,TU1_TRAVEL_DIRECTION,TU2_TRAVEL_DIRECTION,TU1_DRIVER_ACTION,TU2_DRIVER_ACTION,TU1_VEHICLE_TYPE,TU2_VEHICLE_TYPE,TU1_DRIVER_HUMANCONTRIBFACTOR,TU2_DRIVER_HUMANCONTRIBFACTOR,TU1_PEDESTRIAN_ACTION,SERIOUSLY_INJURED,FATALITIES,FATALITY_MODE_1,FATALITY_MODE_2,SERIOUSLY_INJURED_MODE_1,SERIOUSLY_INJURED_MODE_2,TU2_PEDESTRIAN_ACTION,ROAD_DESCRIPTION,ROAD_CONDITION,LIGHT_CONDITION
TRAF - ACCIDENT               ,2459381.238194444,W 6TH AVE / I25 HWYNB,-105.01312717,39.7255361,1     ,EAST,EAST,LANE VIOLATION,No Action,PICKUP TRUCK/UTILITY VAN,SUV,DRIVER INEXPERIENCE,NO APPARENT,OTHER,0.0,0.0,OTHER,OTHER,OTHER,OTHER,OTHER,HIGHWAY INTERCHANGE,DRY,DAY LIGHT
TRAF - ACCIDENT               ,2458584.0729166665,8400 BLOCK PENA BLVD INBOUND,-104.66556322,39.84962611,7     ,NORTH,NORTH,CARELESS DRIVING,No Action,NON-SCHOOL BUS,NON-SCHOOL BUS,DRIVER UNFAMILIAR WITH AREA,NO APPARENT,OTHER,0.0,0.0,OTHER,OTHER,OTHER,OTHER,OTHER,NON INTERSECTION,WET,DAY LIGHT
TRAF - ACCIDENT               ,2461058.8916666666,E COLFAX AVE / N CHERRY ST,-104.93380227,39.74013465,2     ,South,East,Failed to Stop at Signal,No Contributing Action,Passenger Car/Passenger Van,Passenger Car/Passenger Van,No Apparent Contributing Factor,No Apparent Contributing Factor,,0.0,0.0,,,,,,At Intersection,Dry,Daylight
TRAF - ACCIDENT               ,2457380.144444444,E COLFAX AVE / N COLORADO BLVD,-104.94066536,39.74012903,2     ,EAST,EAST,FOLLOWED TOO CLOSELY,OTHER,PASSENGER CAR/VAN,SUV,NO APPARENT,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,  ,AT INTERSECTION,DRY,DAY LIGHT
TRAF - ACCIDENT               ,2456725.461111111,E 14TH AVE / N JOSEPHINE ST,-104.95869337,39.73839049,2     ,NORTH,EAST,FAILED TO STOP AT SIGNAL,OTHER,PICKUP TRUCK/UTILITY VAN,PASSENGER CAR/VAN,DISTRACTED-OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,  ,AT INTERSECTION,DRY,DARK-LIGHTED
TRAF - ACCIDENT - HIT & RUN   ,2456752.1145833335,N SPEER BLVD / N ZUNI ST,-105.01583722,39.75630246,1     ,SOUTH,SOUTH,CARELESS DRIVING,OTHER,SUV,PASSENGER CAR/VAN,  ,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,  ,AT INTERSECTION,DRY,DAY LIGHT
TRAF - ACCIDENT - DUI/DUID    ,2456917.8604166666,E 17TH AVE / N WASHINGTON ST,-104.97874079,39.743266,6     ,EAST,SOUTH,FAILED TO STOP AT SIGNAL,OTHER,PASSENGER CAR/VAN,PASSENGER CAR/VAN,DUI/DWAI/DUID,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,  ,AT INTERSECTION,DRY,DAY LIGHT
TRAF - ACCIDENT - HIT & RUN   ,2457213.41875,2035 S BROADWAY ST,-104.98777561,39.67966149,3     ,NORTH,  ,CARELESS DRIVING,  ,PICKUP TRUCK/UTILITY VAN,  ,DRIVER EMOTIONALLY UPSET,  ,  ,0.0,0.0,  ,  ,  ,  ,  ,PARKING LOT,WET,DARK-LIGHTED
TRAF - ACCIDENT               ,2457194.915972222,14TH ST / COURT PL,-104.99111743,39.74063531,6     ,SOUTH,EAST,OTHER,OTHER,PASSENGER CAR/VAN,PASSENGER CAR/VAN,NO APPARENT,NO APPARENT,OTHER,0.0,0.0,  ,  ,  ,  ,OTHER,AT INTERSECTION,DRY,DAY LIGHT
TRAF - ACCIDENT               ,2460654.034722222,S MONACO ST / E COLUMBIA PL,-104.91290399,39.66194162,3     ,South,,Careless Driving,,Passenger Car/Passenger Van,,Driver Unfamiliar With Area,,,0.0,0.0,,,,,,At Intersection,Dry,Daylight
TRAF - ACCIDENT               ,2458456.214583333,N STEELE ST / E 1ST AVE,-104.95004409,39.71770308,3     ,WEST,NORTH,No Action,No Action,SUV,SUV,NO APPARENT,NO APPARENT,OTHER,0.0,0.0,OTHER,OTHER,OTHER,OTHER,OTHER,AT INTERSECTION,DRY,DARK-LIGHTED
